time,open,high,low,close
1679672100,264.64,265.04,264.64,265.04
1679672160,265.04,265.29,264.9,265.07
1679672220,265.06,265.07,264.81,264.89
1679672280,264.88,264.9,264.7,264.86
1679672340,264.9,264.92,264.64,264.79
1679672400,264.99,265.24,264.99,265.12
1679672460,265.22,265.22,265.03,265.07
1679672520,265.11,265.38,265.08,265.33
1679672580,265.34,265.34,265.1,265.1
1679672640,265.12,265.27,264.93,265.24
1679672700,265.22,266.33,265.22,266.26
1679672760,266.42,266.88,266.39,266.71
1679672820,266.69,266.76,266.43,266.43
1679672880,266.29,266.46,266.09,266.4
1679672940,266.43,266.43,266.22,266.22
1679673000,266.47,266.5,266.19,266.42
1679673060,266.41,266.41,266.09,266.26
1679673120,266.285,266.35,266.23,266.33
1679673180,266.19,266.51,266.19,266.5
1679673240,266.5,266.5,266.26,266.26
1679673300,266.38,266.65,266.37,266.41
1679673360,266.47,267.19,266.47,266.99
1679673420,267.01,267.23,266.77,266.88
1679673480,266.77,266.94,266.77,266.78
1679673540,266.7,266.9,266.68,266.72
1679673600,266.88,266.92,266.6,266.69
1679673660,266.75,267.35,266.74,267.33
1679673720,267.24,267.54,267.15,267.17
1679673780,267.0,267.08,266.8,266.99
1679673840,266.95,266.95,266.4,266.41
1679673900,266.23,266.42,266.18,266.34
1679673960,266.33,266.39,266.23,266.28
1679674020,266.3,266.39,266.22,266.39
1679674080,266.46,266.46,265.9,265.94
1679674140,265.86,265.905,265.47,265.47
1679674200,265.44,265.65,265.44,265.59
1679674260,265.44,265.45,265.28,265.43
1679674320,265.3,265.35,265.26,265.3
1679674380,265.21,265.29,265.13,265.13
1679674440,265.22,265.22,265.1,265.1
1679674500,265.14,265.22,264.99,265.22
1679674560,265.06,265.06,264.84,264.98
1679674620,264.89,264.89,264.89,264.89
1679674680,264.71,264.71,264.4,264.5
1679674740,264.33,264.62,264.2,264.62
1679674800,264.56,264.7,264.56,264.68
1679674860,264.53,264.65,264.46,264.47
1679674920,264.43,264.83,264.42,264.81
1679674980,264.81,264.88,264.72,264.72
1679675040,264.83,264.83,264.73,264.73
1679675100,265.0,265.02,264.88,264.96
1679675160,264.81,264.82,264.61,264.69
1679675220,264.5,264.88,264.5,264.88
1679675280,264.78,265.01,264.78,264.89
1679675340,264.71,264.94,264.71,264.94
1679675400,265.1,265.19,265.04,265.14
1679675460,265.21,265.24,264.93,265.1
1679675520,265.3,265.4,265.18,265.18
1679675580,265.13,265.17,265.02,265.04
1679675640,264.96,265.15,264.84,264.91
1679675700,265.05,265.14,264.77,264.77
1679675760,264.77,264.77,264.77,264.77
1679675820,264.79,265.21,264.79,265.03
1679675880,265.09,265.16,265.0,265.02
1679675940,264.95,264.98,264.83,264.94
1679676000,264.94,265.12,264.57,264.57
1679676060,264.54,264.78,264.54,264.74
1679676120,264.75,264.99,264.73,264.88
1679676180,265.0,265.04,264.96,264.96
1679676240,265.09,265.09,265.03,265.03
1679676300,265.12,265.35,265.12,265.32
1679676360,265.54,265.57,265.36,265.36
1679676420,265.42,265.67,265.39,265.67
1679676480,265.68,265.94,265.58,265.89
1679676540,265.97,265.97,265.61,265.62
1679676600,265.27,265.31,265.26,265.31
1679676660,265.33,265.41,265.22,265.22
1679676720,265.2,265.23,265.0,265.0
1679676780,265.13,265.13,264.99,264.99
1679676840,265.11,265.23,265.09,265.23
1679676900,265.4,265.6,265.37,265.6
1679676960,265.54,265.54,265.34,265.37
1679677020,265.32,265.6,265.32,265.55
1679677080,265.74,265.78,265.58,265.58
1679677140,265.4,265.4,265.25,265.25
1679677200,265.31,265.49,265.31,265.49
1679677260,265.56,265.64,265.44,265.62
1679677320,265.45,265.49,265.4,265.49
1679677380,265.47,265.61,265.42,265.61
1679677440,265.58,265.65,265.43,265.51
1679677500,265.61,265.86,265.61,265.81
1679677560,265.75,265.75,265.6,265.6
1679677620,265.45,265.47,265.12,265.32
1679677680,265.12,265.27,265.1,265.17
1679677740,265.12,265.15,264.92,265.13
1679677800,265.17,265.19,265.07,265.11
1679677860,265.03,265.03,264.56,264.69
1679677920,264.68,264.94,264.58,264.73
1679677980,264.7,264.83,264.7,264.83
1679678040,264.95,264.95,264.86,264.88
1679678100,264.93,265.33,264.93,265.32
1679678160,265.24,265.26,265.16,265.16
1679678220,265.22,265.22,264.99,264.99
1679678280,264.93,265.06,264.83,264.83
